timestamp_entry,timestamp_exit,account_id,symbol,direction,entry_price,exit_price,pnl_ticks
2026-04-24 12:46:08,2026-04-24 12:50:10,22070024,NQ,SHORT,27250.75,27223.5,109.0
2026-04-24 13:18:02,2026-04-24 13:20:09,22070024,NQ,LONG,27251.0,27263.25,49.0
2026-04-24 13:51:00,2026-04-24 13:52:03,22070024,NQ,LONG,27226.25,27204.5,-87.0
2026-04-24 14:00:07,2026-04-24 14:02:03,22070024,NQ,LONG,27176.0,27201.5,102.0
2026-04-24 14:21:02,2026-04-24 14:22:05,22070024,NQ,SHORT,27246.0,27229.0,68.0
2026-04-24 14:39:06,2026-04-24 14:44:00,22070024,NQ,SHORT,27233.0,27245.5,-50.0
2026-04-24 16:17:06,2026-04-24 16:25:08,22070024,NQ,SHORT,27386.5,27399.5,-52.0
2026-04-24 17:10:00,2026-04-24 17:14:02,22070024,NQ,SHORT,27413.25,27405.25,32.0
2026-04-24 17:15:05,2026-04-24 17:17:01,22070024,NQ,SHORT,27407.0,27397.75,37.0
2026-04-26 22:35:07,2026-04-26 22:43:10,22070024,NQ,LONG,27370.75,27384.0,53.0
2026-04-27 00:36:03,2026-04-27 00:40:05,22070024,NQ,SHORT,27415.0,27425.0,-40.0
2026-04-27 02:50:10,2026-04-27 03:12:04,22070024,NQ,SHORT,27525.0,27516.25,35.0
2026-04-27 03:48:01,2026-04-27 04:04:08,22070024,NQ,SHORT,27525.5,27512.0,54.0
2026-04-27 04:20:06,2026-04-27 04:27:06,22070024,NQ,LONG,27518.0,27528.75,43.0
2026-04-27 23:29:00,2026-04-27 23:40:03,22070024,NQ,SHORT,27490.0,27500.5,-42.0
2026-04-28 01:16:01,2026-04-28 01:36:01,22070024,NQ,LONG,27461.5,27474.25,51.0
2026-04-28 03:45:08,2026-04-28 03:52:09,22070024,NQ,LONG,27418.5,27409.0,-38.0
2026-04-28 05:00:05,2026-04-28 05:04:03,22070024,NQ,SHORT,27421.0,27410.0,44.0
2026-04-28 06:04:02,2026-04-28 06:11:03,22070024,NQ,LONG,27366.0,27371.0,20.0
2026-04-28 07:10:00,2026-04-28 07:13:10,22070024,NQ,LONG,27335.5,27329.25,-25.0
2026-04-28 09:03:05,2026-04-28 09:05:05,22070024,NQ,SHORT,27352.25,27338.25,56.0
2026-04-28 09:19:01,2026-04-28 09:21:01,22070024,NQ,SHORT,27341.25,27328.25,52.0
2026-04-28 14:07:00,2026-04-28 14:08:01,22070024,NQ,SHORT,27228.5,27224.25,17.0
