--- Running Pine Script Logic Test over last 4 weeks ---
Processed 0 candles...
[2026-03-13 09:36:00+00:00] Support candidate updated: cand_open=24748.25
[2026-03-13 09:03:00+00:00] Support candidate updated: cand_open=24783.75
[2026-03-13 09:04:00+00:00] Support candidate updated: cand_open=24772.5
[2026-03-13 10:06:00+00:00] Support candidate updated: cand_open=24784.5
[2026-03-13 10:42:00+00:00] Support candidate updated: cand_open=24803.75
[2026-03-13 03:55:00+00:00] Support candidate updated: cand_open=24845.0
[2026-03-13 03:56:00+00:00] Support candidate updated: cand_open=24844.0
[2026-03-13 01:34:00+00:00] Support candidate updated: cand_open=24871.0
[2026-03-13 11:27:00+00:00] Support candidate updated: cand_open=24863.25
[2026-03-13 11:28:00+00:00] Support candidate updated: cand_open=24860.0
[2026-03-13 11:29:00+00:00] Support candidate updated: cand_open=24857.75
[2026-03-13 01:34:00+00:00] Support candidate updated: cand_open=24871.0
[2026-03-13 12:03:00+00:00] Support candidate updated: cand_open=24889.75
[2026-03-13 12:46:00+00:00] Support candidate updated: cand_open=24942.75
[2026-03-13 12:47:00+00:00] Support candidate updated: cand_open=24922.5
[2026-03-13 13:20:00+00:00] Support candidate updated: cand_open=24900.0
[2026-03-13 13:25:00+00:00] Support candidate updated: cand_open=24899.25
[2026-03-13 13:31:00+00:00] Support candidate updated: cand_open=24884.0
[2026-03-13 13:32:00+00:00] Support candidate updated: cand_open=24883.5
[2026-03-13 13:31:00+00:00] Support candidate updated: cand_open=24884.0
[2026-03-13 13:32:00+00:00] Support candidate updated: cand_open=24883.5
[2026-03-13 13:34:00+00:00] Support candidate updated: cand_open=24881.25
[2026-03-13 12:46:00+00:00] Support candidate updated: cand_open=24942.75
[2026-03-13 14:24:00+00:00] Support candidate updated: cand_open=24903.75
[2026-03-13 16:55:00+00:00] Support candidate updated: cand_open=24686.75
[2026-03-13 18:12:00+00:00] Support candidate updated: cand_open=24621.25
[2026-03-13 18:17:00+00:00] Support candidate updated: cand_open=24630.25
[2026-03-13 17:39:00+00:00] Support candidate updated: cand_open=24655.75
[2026-03-13 19:31:00+00:00] Support candidate updated: cand_open=24609.5
[2026-03-13 20:39:00+00:00] Support candidate updated: cand_open=24600.0
[2026-03-15 22:26:00+00:00] Support candidate updated: cand_open=24560.75
[2026-03-15 22:27:00+00:00] Support candidate updated: cand_open=24554.25
[2026-03-13 20:39:00+00:00] Support candidate updated: cand_open=24600.0
[2026-03-15 22:02:00+00:00] Support candidate updated: cand_open=24602.0
[2026-03-15 22:59:00+00:00] Support candidate updated: cand_open=24687.5
[2026-03-15 23:25:00+00:00] Support candidate updated: cand_open=24661.0
[2026-03-15 22:59:00+00:00] Support candidate updated: cand_open=24687.5
[2026-03-15 23:01:00+00:00] Support candidate updated: cand_open=24710.25
Processed 3000 candles...
[2026-03-16 00:36:00+00:00] Support candidate updated: cand_open=24722.25
[2026-03-16 02:58:00+00:00] Support candidate updated: cand_open=24713.75
[2026-03-16 02:58:00+00:00] Support candidate updated: cand_open=24713.75
[2026-03-16 03:25:00+00:00] Support candidate updated: cand_open=24723.0
[2026-03-16 03:26:00+00:00] Support candidate updated: cand_open=24721.75
[2026-03-16 04:16:00+00:00] Support candidate updated: cand_open=24764.75
[2026-03-16 04:53:00+00:00] Support candidate updated: cand_open=24741.75
[2026-03-16 04:55:00+00:00] Support candidate updated: cand_open=24741.5
[2026-03-16 04:53:00+00:00] Support candidate updated: cand_open=24741.75
[2026-03-16 05:09:00+00:00] Support candidate updated: cand_open=24742.5
[2026-03-16 05:09:00+00:00] Support candidate updated: cand_open=24742.5
[2026-03-16 05:17:00+00:00] Support candidate updated: cand_open=24742.0
[2026-03-16 04:16:00+00:00] Support candidate updated: cand_open=24764.75
[2026-03-16 06:13:00+00:00] Support candidate updated: cand_open=24779.0
[2026-03-16 07:47:00+00:00] Support candidate updated: cand_open=24745.0
[2026-03-16 07:48:00+00:00] Support candidate updated: cand_open=24742.25
[2026-03-16 07:51:00+00:00] Support candidate updated: cand_open=24748.75
[2026-03-16 08:04:00+00:00] Support candidate updated: cand_open=24747.25
[2026-03-16 07:03:00+00:00] Support candidate updated: cand_open=24794.5
[2026-03-16 07:05:00+00:00] Support candidate updated: cand_open=24788.5
[2026-03-16 07:08:00+00:00] Support candidate updated: cand_open=24787.5
[2026-03-16 08:42:00+00:00] Support candidate updated: cand_open=24738.75
[2026-03-16 08:42:00+00:00] Support candidate updated: cand_open=24738.75
[2026-03-16 08:32:00+00:00] Support candidate updated: cand_open=24756.75
[2026-03-16 08:32:00+00:00] Support candidate updated: cand_open=24756.75
[2026-03-16 08:56:00+00:00] Support candidate updated: cand_open=24755.25
[2026-03-16 08:58:00+00:00] Support candidate updated: cand_open=24754.75
[2026-03-16 09:49:00+00:00] Support candidate updated: cand_open=24731.5
[2026-03-16 09:50:00+00:00] Support candidate updated: cand_open=24727.5
[2026-03-16 09:49:00+00:00] Support candidate updated: cand_open=24731.5
[2026-03-16 09:50:00+00:00] Support candidate updated: cand_open=24727.5
[2026-03-16 10:05:00+00:00] Support candidate updated: cand_open=24734.0
[2026-03-16 07:03:00+00:00] Support candidate updated: cand_open=24794.5
[2026-03-16 07:05:00+00:00] Support candidate updated: cand_open=24788.5
[2026-03-16 07:08:00+00:00] Support candidate updated: cand_open=24787.5
[2026-03-16 10:28:00+00:00] Support candidate updated: cand_open=24797.0
[2026-03-16 10:29:00+00:00] Support candidate updated: cand_open=24792.0
[2026-03-16 10:30:00+00:00] Support candidate updated: cand_open=24790.5
[2026-03-16 10:28:00+00:00] Support candidate updated: cand_open=24797.0
[2026-03-16 10:29:00+00:00] Support candidate updated: cand_open=24792.0
[2026-03-16 10:30:00+00:00] Support candidate updated: cand_open=24790.5
[2026-03-16 10:33:00+00:00] Support candidate updated: cand_open=24789.0
[2026-03-16 10:34:00+00:00] Support candidate updated: cand_open=24784.0
[2026-03-16 10:43:00+00:00] Support candidate updated: cand_open=24792.75
[2026-03-16 11:19:00+00:00] Support candidate updated: cand_open=24819.5
[2026-03-16 13:48:00+00:00] Support candidate updated: cand_open=24950.5
[2026-03-16 14:11:00+00:00] Support candidate updated: cand_open=24974.0
[2026-03-16 14:47:00+00:00] Support candidate updated: cand_open=24881.5
[2026-03-16 14:49:00+00:00] Support candidate updated: cand_open=24871.0
[2026-03-16 15:01:00+00:00] Support candidate updated: cand_open=24915.75
[2026-03-16 15:15:00+00:00] Support candidate updated: cand_open=24918.75
[2026-03-16 16:08:00+00:00] Support candidate updated: cand_open=24914.75
[2026-03-16 16:09:00+00:00] Support candidate updated: cand_open=24909.5
[2026-03-16 16:08:00+00:00] Support candidate updated: cand_open=24914.75
[2026-03-16 16:09:00+00:00] Support candidate updated: cand_open=24909.5
Processed 4000 candles...
[2026-03-16 17:01:00+00:00] Support candidate updated: cand_open=24935.5
[2026-03-16 17:03:00+00:00] Support candidate updated: cand_open=24927.0
[2026-03-16 18:46:00+00:00] Support candidate updated: cand_open=24948.75
[2026-03-16 18:46:00+00:00] Support candidate updated: cand_open=24948.75
[2026-03-16 18:49:00+00:00] Support candidate updated: cand_open=24948.5
[2026-03-16 19:10:00+00:00] Support candidate updated: cand_open=25002.5
