timestamp_entry,timestamp_exit,account_id,symbol,direction,entry_price,exit_price,pnl_ticks
2026-04-28 22:22:04,2026-04-28 23:33:00,22070024,NQ,SHORT,27220.25,27233.5,-53.0
2026-04-29 04:56:01,2026-04-29 05:11:05,22070024,NQ,SHORT,27297.75,27290.25,30.0
2026-04-29 05:28:02,2026-04-29 05:31:03,22070024,NQ,SHORT,27284.75,27297.25,-50.0
2026-04-29 05:37:05,2026-04-29 05:45:00,22070024,NQ,SHORT,27291.0,27302.5,-46.0
2026-04-29 06:43:01,2026-04-29 06:51:02,22070024,NQ,LONG,27288.0,27278.0,-40.0
2026-04-29 08:05:02,2026-04-29 08:06:01,22070024,NQ,LONG,27241.25,27223.75,-70.0
2026-04-29 10:54:03,2026-04-29 11:04:02,22070024,NQ,SHORT,27263.75,27272.5,-35.0
2026-04-29 12:01:19,2026-04-29 12:04:33,22070024,NQ,LONG,27244.0,27231.5,-50.0
2026-04-29 17:01:09,2026-04-29 17:01:59,22333578,NQ,LONG,27196.5,27181.75,-59.0
2026-04-29 17:12:50,2026-04-29 17:15:40,22333578,NQ,LONG,27205.0,27193.75,-45.0
2026-04-29 17:56:11,2026-04-29 17:58:46,22333578,NQ,SHORT,27243.5,27243.0,2.0
2026-04-29 18:44:11,2026-04-29 18:45:12,22333578,NQ,LONG,27195.25,27181.0,-57.0
2026-04-30 09:23:16,2026-04-30 09:26:04,22333578,NQ,SHORT,27349.0,27348.25,3.0
2026-04-30 10:49:19,2026-04-30 10:49:52,22333578,NQ,SHORT,27398.5,27385.25,53.0
2026-04-30 11:06:59,2026-04-30 11:09:06,22333578,NQ,LONG,27386.5,27402.5,64.0
